stcode,stname,ctyname,census2010pop,estimatesbase2010,popestimate2019,npopchg_2019,births2019,deaths2019,naturalinc2019,internationalmig2019,domesticmig2019,netmig2019,residual2019,gqestimates2019,rbirth2019,rdeath2019,rnaturalinc2019,rinternationalmig2019,rdomesticmig2019,rnetmig2019
AL,Alabama,Greene County,9045,9039,8111,-98,96,93,3,0,-101,-101,0,45,11.764705882,11.397058824,0.3676470588,0.0,-12.37745098,-12.37745098
AL,Alabama,Hale County,15760,15762,14651,-98,190,181,9,-3,-103,-106,-1,221,12.925170068,12.31292517,0.612244898,-0.204081633,-7.006802721,-7.210884354
AL,Alabama,Henry County,17302,17299,17205,32,167,213,-46,-1,79,78,0,199,9.7155157368,12.39164582,-2.676130083,-0.058176741,4.5959625342,4.5377857932
AL,Alabama,Houston County,101547,101560,105882,1112,1304,1137,167,11,936,947,-2,1415,12.380608777,10.795055352,1.5855534246,0.1044376507,8.8866946433,8.991132294
AL,Alabama,Jackson County,53227,53223,51626,5,562,675,-113,-7,128,121,-3,597,10.886514862,13.075440449,-2.188925586,-0.13559716,2.4794909295,2.3438937693
AL,Alabama,Jefferson County,658466,658567,658573,-856,8422,7343,1079,460,-2375,-1915,-20,16663,12.779950258,11.142623456,1.6373268022,0.6980262549,-3.603939903,-2.905913648
AL,Alabama,Lamar County,14564,14564,13805,-77,159,172,-13,-1,-64,-65,1,217,11.485534727,12.424603605,-0.939068877,-0.072236067,-4.623108318,-4.695344385
AL,Alabama,Lauderdale County,92709,92709,92729,125,876,1136,-260,35,355,390,-5,2280,9.4532544123,12.259014854,-2.805760442,0.377698521,3.830942142,4.208640663
AL,Alabama,Alabama,4779736,4780125,4903185,15504,57313,53879,3434,2772,9387,12159,-89,116625,11.707442426,11.005972301,0.7014701253,0.5662420464,1.9175014754,2.4837435218
AL,Alabama,Autauga County,54571,54597,55869,336,624,541,83,-16,270,254,-1,455,11.202671406,9.7125724852,1.490098921,-0.287247985,4.8473097431,4.5600617583
AL,Alabama,Baldwin County,182265,182265,223234,5379,2304,2326,-22,80,5297,5377,24,2170,10.446871266,10.546624377,-0.099753111,0.3627385856,24.017828601,24.380567187
AL,Alabama,Barbour County,27457,27455,24686,-186,256,312,-56,13,-141,-128,-2,2812,10.331328948,12.591307155,-2.259978207,0.5246377981,-5.690302272,-5.165664474
AL,Alabama,Bibb County,22915,22915,22394,27,240,252,-12,10,31,41,-2,2148,10.723621009,11.25980206,-0.53618105,0.4468175421,1.3851343804,1.8319519224
AL,Alabama,Blount County,57322,57322,57826,55,651,657,-6,6,59,65,-4,489,11.263268078,11.367077,-0.103808922,0.1038089224,1.0207877367,1.1245966591
AL,Alabama,Bullock County,10914,10911,10101,-73,109,109,0,-1,-72,-73,0,1663,10.75215783,10.75215783,0.0,-0.09864365,-7.102342787,-7.200986436
AL,Alabama,Butler County,20947,20940,19448,-183,213,272,-59,18,-141,-123,-1,333,10.90099542,13.920519972,-3.019524553,0.9212108805,-7.216151897,-6.294941017
AL,Alabama,Calhoun County,118572,118526,113605,-726,1269,1532,-263,14,-475,-461,-2,2833,11.134704478,13.442369788,-2.30766531,0.1228414994,-4.167836586,-4.044995086
AL,Alabama,Chambers County,34215,34169,33254,-346,354,441,-87,6,-265,-259,0,458,10.590241422,13.192927873,-2.602686451,0.1794956173,-7.927723098,-7.748227481
AL,Alabama,Cherokee County,25989,25979,26196,182,222,343,-121,-3,306,303,0,290,8.5041179851,13.139245355,-4.63512737,-0.114920513,11.721892358,11.606971844
AL,Alabama,Chilton County,43643,43632,44428,265,551,503,48,35,184,219,-2,393,12.439186825,11.355555305,1.0836315201,0.7901479834,4.1539208272,4.9440688106
AL,Alabama,Choctaw County,13859,13858,12589,-244,133,176,-43,-2,-199,-201,0,129,10.463378176,13.84627488,-3.382896704,-0.157344033,-15.65573126,-15.81307529
AL,Alabama,Clarke County,25833,25833,23622,-296,266,324,-58,-5,-232,-237,-1,280,11.190576357,13.630626841,-2.440050484,-0.21034918,-9.760201935,-9.970551115
AL,Alabama,Clay County,13932,13930,13235,-59,143,187,-44,-2,-12,-14,-1,255,10.780655132,14.097779788,-3.317124656,-0.150778393,-0.904670361,-1.055448754
AL,Alabama,Cleburne County,14972,14972,14910,-100,187,189,-2,-11,-86,-97,-1,178,12.5,12.63368984,-0.13368984,-0.735294118,-5.748663102,-6.483957219
AL,Alabama,Coffee County,49948,49955,52342,392,599,570,29,34,334,368,-5,498,11.486978867,10.930848004,0.5561308633,0.652015495,6.4050933916,7.0571088866
AL,Alabama,Colbert County,54428,54428,55241,237,630,719,-89,73,256,329,-3,474,11.429089755,13.04367545,-1.614585695,1.3243230986,4.6442015511,5.9685246496
AL,Alabama,Conecuh County,13228,13236,12067,-225,123,182,-59,1,-167,-166,0,45,10.098936738,14.943142165,-4.844205427,0.0821051767,-13.71156451,-13.62945934
AL,Alabama,Coosa County,11539,11756,10663,20,89,122,-33,13,42,55,-2,196,8.3544541444,11.452173097,-3.097718952,1.2203135267,3.942551394,5.1628649207
AL,Alabama,Covington County,37765,37762,37049,96,413,543,-130,-5,235,230,-4,575,11.16186049,14.675279047,-3.513418556,-0.135131483,6.3511796978,6.2160482149
AL,Alabama,Crenshaw County,13906,13893,13772,-53,137,179,-42,3,-14,-11,0,132,9.9286154292,12.972424539,-3.04380911,0.2174149364,-1.014603037,-0.7971881
AL,Alabama,Cullman County,80406,80406,83768,350,990,1050,-60,34,380,414,-4,1027,11.84309691,12.560860359,-0.717763449,0.4067326212,4.5458351776,4.9525677987
AL,Alabama,Dale County,50251,50251,49172,29,648,546,102,18,-89,-71,-2,941,13.1821187,11.107155571,2.0749631287,0.3661699639,-1.810507044,-1.44433708
AL,Alabama,Dallas County,43820,43813,37196,-1098,438,542,-104,5,-1002,-997,3,853,11.604185985,14.359517817,-2.755331832,0.1324678765,-26.54656246,-26.41409458
AL,Alabama,DeKalb County,71109,71120,71513,106,795,819,-24,44,90,134,-4,782,11.125104954,11.460957179,-0.335852225,0.6157290792,1.2594458438,1.875174923
AL,Alabama,Elmore County,79303,79272,81209,198,932,821,111,25,67,92,-5,4147,11.490568364,10.122056467,1.3685118974,0.3082234003,0.8260387129,1.1342621132
AL,Alabama,Escambia County,38319,38320,36633,109,420,474,-54,-1,166,165,-2,2472,11.482154818,12.958431866,-1.476277048,-0.027338464,4.5381849994,4.5108465355
AL,Alabama,Etowah County,104430,104429,102268,-343,1175,1487,-312,37,-62,-25,-6,2085,11.470184841,14.515884986,-3.045700145,0.3611887992,-0.605235285,-0.244046486
AL,Alabama,Fayette County,17241,17235,16302,-143,174,225,-51,5,-97,-92,0,291,10.626927657,13.741716798,-3.114789141,0.3053714844,-5.924206798,-5.618835313
AL,Alabama,Franklin County,31704,31709,31362,64,432,367,65,29,-28,1,-2,272,13.788700926,11.714012129,2.0746887967,0.9256303862,-0.893712097,0.0319182892
AL,Alabama,Geneva County,26790,26781,26271,-35,278,365,-87,-7,62,55,-3,229,10.57496624,13.884398121,-3.309431881,-0.266276128,2.3584457082,2.0921695799
AK,Alaska,Kenai Peninsula Borough,55400,55400,58708,147,665,541,124,20,6,26,-3,1686,11.341445736,9.2266498393,2.1147958966,0.3410961124,0.1023288337,0.4434249461
AK,Alaska,Ketchikan Gateway Borough,13477,13526,13901,45,153,88,65,24,-42,-18,-2,267,11.024246136,6.3407428757,4.6835032604,1.7292935115,-3.026263645,-1.296970134
AK,Alaska,Kodiak Island Borough,13592,13606,12998,-252,168,53,115,33,-400,-367,0,390,12.800975312,4.0384029259,8.7625723865,2.5144772935,-30.47851265,-27.96403536
AK,Alaska,Kusilvak Census Area,7459,7459,8314,-9,233,103,130,7,-146,-139,0,13,28.009857546,12.382040031,15.627817515,0.8414978662,-17.55124121,-16.70974334
AK,Alaska,Lake and Peninsula Borough,1631,1635,1592,-4,31,10,21,3,-28,-25,0,37,19.447929737,6.2735257215,13.174404015,1.8820577164,-17.56587202,-15.6838143
AK,Alaska,Matanuska-Susitna Borough,88995,88985,108317,1202,1368,646,722,16,466,482,-2,2023,12.700063129,5.9972520331,6.7028110958,0.14853875,4.3261910951,4.4747298451
AK,Alaska,Nome Census Area,9492,9492,10004,-49,197,101,96,2,-147,-145,0,179,19.644014559,10.071296804,9.5727177544,0.1994316199,-14.65822406,-14.45879244
AK,Alaska,North Slope Borough,9430,9430,9832,-18,151,57,94,1,-114,-113,1,2651,15.343969109,5.7920942994,9.5518748095,0.1016156895,-11.5841886,-11.48257291
AK,Alaska,Northwest Arctic Borough,7523,7523,7621,-73,167,90,77,7,-156,-149,-1,396,21.808684296,11.753183154,10.055501143,0.9141364675,-20.37218413,-19.45804767
AK,Alaska,Petersburg Borough,3815,3207,3266,22,30,29,1,2,19,21,0,43,9.2165898618,8.9093701997,0.3072196621,0.6144393241,5.8371735791,6.4516129032
AK,Alaska,Prince of Wales-Hyder Census Area,5559,6168,6203,-157,59,53,6,2,-166,-164,1,50,9.3926609886,8.4374751254,0.9551858632,0.3183952877,-26.42680888,-26.1084136
AK,Alaska,Sitka City and Borough,8881,8881,8493,-61,77,58,19,16,-96,-80,0,258,9.0338475978,6.8047163724,2.2291312254,1.8771631372,-11.26297882,-9.385815686
AK,Alaska,Skagway Municipality,968,968,1183,14,8,14,-6,0,20,20,0,32,6.8027210884,11.904761905,-5.102040816,0.0,17.006802721,17.006802721
AK,Alaska,Southeast Fairbanks Census Area,7029,7029,6893,-44,109,35,74,12,-129,-117,-1,369,15.762834418,5.0614605929,10.701373825,1.7353579176,-18.65509761,-16.9197397
AK,Alaska,Valdez-Cordova Census Area,9636,9636,9202,41,118,58,60,-6,-13,-19,0,188,12.851930512,6.3170505909,6.5348799216,-0.653487992,-1.41589065,-2.069378642
AK,Alaska,Wrangell City and Borough,2369,2365,2502,-36,21,34,-13,5,-30,-25,2,13,8.3333333333,13.492063492,-5.158730159,1.9841269841,-11.9047619,-9.920634921
AK,Alaska,Yakutat City and Borough,662,662,579,-17,4,1,3,1,-22,-21,1,18,6.8085106383,1.7021276596,5.1063829787,1.7021276596,-37.44680851,-35.74468085
AK,Alaska,Yukon-Koyukuk Census Area,5588,5588,5230,-129,76,69,7,2,-139,-137,1,31,14.35451884,13.032392105,1.3221267353,0.3777504958,-26.25365946,-25.87590896
AZ,Arizona,Arizona,6392017,6392288,7278717,120693,81942,60523,21419,7782,91017,98799,475,161893,11.351869511,8.3845793175,2.9672901938,1.0780826504,12.609078462,13.687161112
AZ,Arizona,Apache County,71518,71517,71887,156,934,702,232,37,-112,-75,-1,956,13.006726176,9.7759333788,3.2307927976,0.5152557479,-1.559693075,-1.044437327
AZ,Arizona,Cochise County,131346,131359,125922,-489,1348,1312,36,66,-595,-529,4,4436,10.684294167,10.398956934,0.2853372329,0.5231182604,-4.715990378,-4.192872117
AZ,Arizona,Coconino County,134421,134426,143476,953,1513,901,612,25,313,338,3,13646,10.580456575,6.3007213312,4.2797352438,0.1748257861,2.188818842,2.3636446281
AZ,Arizona,Gila County,53597,53592,54018,217,514,811,-297,9,504,513,1,908,9.5344976303,15.043730697,-5.509233067,0.1669464566,9.3490015674,9.515948024
AZ,Arizona,Graham County,37220,37212,38837,842,526,323,203,30,607,637,2,2922,13.692211579,8.4079550187,5.2842565598,0.7809246147,15.800708038,16.581632653
AL,Alabama,Lawrence County,34339,34337,32924,-17,349,428,-79,-3,69,66,-4,229,10.597434146,12.99628027,-2.398846125,-0.091095422,2.0951947165,2.004099294
AL,Alabama,Lee County,140247,140287,164542,886,1825,1133,692,303,-112,191,3,4913,11.121335292,6.9043687043,4.2169665872,1.8464463525,-0.682514823,1.1639315291
AL,Alabama,Limestone County,82782,82786,98915,2738,1014,864,150,32,2545,2577,11,2648,10.395095647,8.8573596047,1.5377360425,0.3280503557,26.090254854,26.41830521
AL,Alabama,Lowndes County,11299,11296,9726,-248,116,141,-25,-1,-223,-224,1,96,11.776649746,14.314720812,-2.538071066,-0.101522843,-22.63959391,-22.74111675
AL,Alabama,Macon County,21452,21448,18068,-253,172,264,-92,1,-162,-161,0,1597,9.4534062491,14.509879359,-5.05647311,0.0549616642,-8.903789607,-8.848827943
AL,Alabama,Madison County,334811,334807,372909,5905,4242,3305,937,230,4721,4951,17,8940,11.46621292,8.9334827203,2.5327301994,0.6216947128,12.760959734,13.382654447
AL,Alabama,Marengo County,21027,21048,18863,-193,209,276,-67,3,-129,-126,0,254,11.023497455,14.557345922,-3.533848466,0.1582320209,-6.803976898,-6.645744877
AL,Alabama,Marion County,30776,30776,29709,-41,302,405,-103,3,62,65,-3,735,10.158260314,13.62283254,-3.464572226,0.1009098707,2.0854706605,2.1863805311
AL,Alabama,Marshall County,93019,93019,96774,604,1395,1155,240,65,303,368,-4,1045,14.460154242,11.97238577,2.4877684717,0.6737706277,3.1408076955,3.8145783232
AL,Alabama,Mobile County,412992,413139,413210,-698,5443,4576,867,266,-1821,-1555,-10,7390,13.161362708,11.064926649,2.0964360587,0.6431972222,-4.403241134,-3.760043912
AL,Alabama,Monroe County,23068,23067,20733,-329,199,278,-79,-2,-249,-251,1,230,9.5226701759,13.303026678,-3.780356502,-0.095705228,-11.91530087,-12.0110061
AL,Alabama,Montgomery County,229363,229375,226486,-18,3058,2164,894,321,-1235,-914,2,9302,13.501401797,9.5542947968,3.9471070002,1.4172498289,-5.452658999,-4.03540917
AL,Alabama,Morgan County,119490,119490,119679,476,1402,1316,86,113,285,398,-8,2002,11.73801291,11.017992147,0.7200207634,0.9460737938,2.3861153205,3.3321891143
AL,Alabama,Perry County,10591,10575,8923,-147,95,121,-26,2,-124,-122,1,709,10.559662091,13.449674874,-2.890012783,0.2223086756,-13.78313789,-13.56082921
AL,Alabama,Pickens County,19746,19746,19930,-50,205,235,-30,14,-33,-19,-1,1878,10.273114508,11.776497119,-1.503382611,0.7015785517,-1.653720872,-0.95214232
AL,Alabama,Pike County,32899,32901,33114,-128,345,339,6,79,-210,-131,-3,2204,10.398456809,10.217614082,0.1808427271,2.3810959069,-6.329495449,-3.948399542
AL,Alabama,Randolph County,22913,22916,22722,-5,254,285,-31,-6,33,27,-1,390,11.177363638,12.541530067,-1.364166428,-0.264032212,1.4521771656,1.1881449537
AL,Alabama,Russell County,52947,52963,57961,177,810,608,202,-49,26,-23,-2,574,13.996284937,10.505853385,3.4904315521,-0.846688842,0.4492634671,-0.397425375
AL,Alabama,St. Clair County,83593,83350,89512,858,983,975,8,23,828,851,-1,1582,11.034653076,10.944849186,0.0898038908,0.2581861859,9.294702693,9.5528888789
AL,Alabama,Shelby County,195085,195253,217702,2119,2237,1626,611,137,1381,1518,-10,2416,10.325767105,7.5054525312,2.8203145735,0.6323782268,6.3745571621,7.0069353889
AL,Alabama,Sumter County,13763,13763,12427,-207,136,163,-27,27,-207,-180,0,916,10.853517418,13.008259846,-2.154742428,2.1547424285,-16.51969195,-14.36494952
AL,Alabama,Talladega County,82291,82353,79978,-159,844,1044,-200,32,14,46,-5,3095,10.542422634,13.040627049,-2.498204416,0.3997127065,0.1748743091,0.5745870156
AL,Alabama,Tallapoosa County,41616,41618,40367,-168,385,534,-149,2,-18,-16,-3,576,9.517688067,13.201156955,-3.683468888,0.0494425354,-0.444982819,-0.395540283
AL,Alabama,Tuscaloosa County,194656,194667,209355,1036,2431,1872,559,221,261,482,-5,9954,11.640657546,8.9639288057,2.6767287406,1.0582415951,1.2497785354,2.3080201305
AL,Alabama,Walker County,67023,67020,63521,-148,750,969,-219,-1,75,74,-3,852,11.793379983,15.237046938,-3.443666955,-0.015724507,1.1793379983,1.1636134916
AL,Alabama,Washington County,17581,17580,16326,-76,165,191,-26,14,-65,-51,1,147,10.083109264,11.671962845,-1.588853581,0.8555365436,-3.972133953,-3.116597409
AL,Alabama,Wilcox County,11670,11664,10373,-226,133,162,-29,0,-197,-197,0,108,12.683578104,15.449170322,-2.765592218,0.0,-18.78695403,-18.78695403
AL,Alabama,Winston County,24484,24488,23629,-64,243,325,-82,2,17,19,-1,301,10.270064663,13.735683192,-3.465618528,0.0845272812,0.71848189,0.8030091712
AK,Alaska,Alaska,710231,710249,731545,-3594,10031,4819,5212,659,-9482,-8823,17,26673,13.678474709,6.5712859757,7.1071887332,0.8986257435,-12.92984719,-12.03122145
AK,Alaska,Aleutians East Borough,3141,3141,3337,-58,10,9,1,43,-103,-60,1,1731,2.9708853238,2.6737967914,0.2970885324,12.774806892,-30.60011884,-17.82531194
AK,Alaska,Aleutians West Census Area,5561,5561,5634,-6,38,7,31,53,-91,-38,1,2529,6.7411743835,1.2417952812,5.4993791024,9.4021642718,-16.14333866,-6.741174384
AK,Alaska,Anchorage Municipality,291826,291836,288000,-2521,3923,1847,2076,364,-4972,-4608,11,7595,13.56216974,6.3852478994,7.1769218403,1.2583812861,-17.18865867,-15.93027738
AK,Alaska,Bethel Census Area,17013,17013,18386,167,403,150,253,2,-88,-86,0,327,22.018849884,8.1956016938,13.82324819,0.1092746893,-4.808086327,-4.698811638
AK,Alaska,Bristol Bay Borough,997,997,836,-44,8,7,1,1,-46,-45,0,16,9.324009324,8.1585081585,1.1655011655,1.1655011655,-53.61305361,-52.44755245
AK,Alaska,Denali Borough,1826,1822,2097,65,14,9,5,8,51,59,1,105,6.7813029789,4.3594090579,2.421893921,3.8750302737,24.703317995,28.578348268
AK,Alaska,Dillingham Census Area,4847,4847,4916,-75,87,42,45,1,-121,-120,0,52,17.563339053,8.478853336,9.0844857172,0.2018774604,-24.42717271,-24.22529525
AK,Alaska,Fairbanks North Star Borough,97581,97585,96849,-1716,1533,506,1027,16,-2763,-2747,4,4689,15.689766342,5.1787487079,10.511017634,0.1637548999,-28.27842427,-28.11466937
AK,Alaska,Haines Borough,2508,2508,2530,42,20,7,13,0,28,28,1,0,7.9713033081,2.7899561578,5.1813471503,0.0,11.159824631,11.159824631
AK,Alaska,Hoonah-Angoon Census Area,2150,2103,2148,-7,20,18,2,4,-13,-9,0,0,9.2958401116,8.3662561004,0.9295840112,1.8591680223,-6.042296073,-4.18312805
AK,Alaska,Juneau City and Borough,31275,31276,31974,-63,340,177,163,20,-247,-227,1,985,10.623174142,5.5302994798,5.0928746622,0.6248925966,-7.717423568,-7.092530971
AR,Arkansas,Hot Spring County,32923,33011,33771,99,361,379,-18,-1,119,118,-1,2332,10.705336358,11.239120442,-0.533784084,-0.029654671,3.5289058909,3.4992512195
AR,Arkansas,Howard County,13789,13781,13202,-100,172,171,1,-2,-99,-101,0,181,12.979172955,12.903712647,0.0754603079,-0.150920616,-7.47057048,-7.621491096
AR,Arkansas,Independence County,36647,36641,37825,57,513,430,83,-7,-17,-24,-2,966,13.572685302,11.376714775,2.1959705264,-0.185202334,-0.449777096,-0.634979429
AR,Arkansas,Izard County,13696,13703,13629,47,119,188,-69,2,113,115,1,1002,8.7464628275,13.817941274,-5.071478446,0.1469993753,8.3054647018,8.452464077
AR,Arkansas,Jackson County,17997,17998,16719,-34,187,206,-19,-2,-12,-14,-1,2210,11.173518164,12.308795411,-1.135277247,-0.119502868,-0.717017208,-0.836520076
AR,Arkansas,Jefferson County,77435,77456,66824,-1243,788,827,-39,6,-1214,-1208,4,5424,11.683507425,12.261752081,-0.578244657,0.0889607164,-17.99971829,-17.91075757
AR,Arkansas,Johnson County,25540,25545,26578,-81,326,252,74,-4,-150,-154,-1,690,12.247121363,9.4670999493,2.7800214137,-0.150271428,-5.635178541,-5.785449969
AR,Arkansas,Lafayette County,7645,7643,6624,-55,61,94,-33,-1,-20,-21,-1,105,9.170863715,14.132150643,-4.961286928,-0.150342028,-3.006840562,-3.15718259
AR,Arkansas,Lawrence County,17415,17410,16406,-26,194,249,-55,-3,32,29,0,663,11.815579512,15.165357208,-3.349777697,-0.182715147,1.9489615689,1.7662464218
AR,Arkansas,Lee County,10424,10428,8857,-119,81,120,-39,0,-80,-80,0,1738,9.0842819492,13.45819548,-4.373913531,0.0,-8.97213032,-8.97213032
AR,Arkansas,Lincoln County,14134,14141,13024,-160,100,146,-46,1,-113,-112,-2,3547,7.6312576313,11.141636142,-3.51037851,0.0763125763,-8.623321123,-8.547008547
AR,Arkansas,Little River County,13171,13168,12259,-38,136,176,-40,-3,6,3,-1,123,11.076722593,14.33458218,-3.257859586,-0.244339469,0.4886789379,0.244339469
AR,Arkansas,Logan County,22353,22361,21466,-207,235,296,-61,10,-156,-146,0,579,10.895013793,13.723081203,-2.82806741,0.4636176082,-7.232434688,-6.76881708
AR,Arkansas,Lonoke County,68356,68382,73309,-82,858,690,168,-12,-242,-254,4,573,11.697341513,9.4069529652,2.2903885481,-0.163599182,-3.29925017,-3.462849352
AR,Arkansas,Madison County,15717,15723,16576,214,207,141,66,-5,152,147,1,79,12.56906916,8.5615398628,4.0075292975,-0.303600704,9.2294614124,8.925860708
AR,Arkansas,Marion County,16653,16644,16694,29,141,278,-137,-4,172,168,-2,141,8.4534908121,16.667166282,-8.21367547,-0.239815342,10.312059714,10.072244372
AZ,Arizona,Greenlee County,8437,8444,9498,50,144,49,95,8,-52,-44,-1,34,15.201097857,5.1725957986,10.028502058,0.8445054365,-5.489285337,-4.644779901
AZ,Arizona,La Paz County,20489,20489,21108,69,191,310,-119,68,123,191,-3,374,9.06351579,14.710418298,-5.646902508,3.2268014331,5.8367143569,9.06351579
AZ,Arizona,Maricopa County,3817117,3817365,4485414,83011,52722,33023,19699,5520,57477,62997,315,67191,11.863880636,7.4310710943,4.4328095414,1.2421497877,12.933884665,14.176034453
AZ,Arizona,Mohave County,200186,200182,212181,2889,1752,3375,-1623,-246,4724,4478,34,4762,8.31369981,16.015260764,-7.701560954,-1.167334562,22.416619807,21.249285245
AZ,Arizona,Navajo County,107449,107488,110924,682,1447,1117,330,44,311,355,-3,1922,13.085193927,10.101010101,2.9841838257,0.3978911768,2.8123671812,3.210258358
AZ,Arizona,Pima County,980263,980263,1047279,10725,10891,10199,692,1204,8801,10005,28,24751,10.452852988,9.78869228,0.6641607077,1.1555628498,8.4469340873,9.6024969371
AZ,Arizona,Pinal County,375770,375764,462789,15983,4568,3330,1238,487,14180,14667,78,25918,10.044030585,7.3219399843,2.7220906008,1.0708062379,31.178711405,32.249517642
AZ,Arizona,Santa Cruz County,47420,47420,46498,103,619,316,303,56,-257,-201,1,474,13.327161358,6.8035266382,6.5236347195,1.205688265,-5.53324793,-4.327559665
AZ,Arizona,Yavapai County,211033,211017,235099,3327,1782,3042,-1260,-72,4636,4564,23,4140,7.6338003431,13.031436949,-5.397636606,-0.308436378,19.85987564,19.551439263
AZ,Arizona,Yuma County,195751,195750,213787,2175,2991,1713,1278,546,357,903,-6,9459,14.062092295,8.0536155468,6.0084767477,2.567001803,1.6784242558,4.2454260588
AR,Arkansas,Arkansas,2915918,2916031,3017804,8071,36640,31322,5318,268,2515,2783,-30,84011,12.15753632,10.392968139,1.764568181,0.0889252111,0.8345033801,0.9234285911
AR,Arkansas,Arkansas County,19019,19007,17486,-240,206,216,-10,-3,-229,-232,2,247,11.700556628,12.268544814,-0.567988186,-0.170396456,-13.00692946,-13.17732591
AR,Arkansas,Ashley County,21853,21845,19657,-355,213,251,-38,-4,-313,-317,0,191,10.7388641,12.65471779,-1.915853689,-0.201668809,-15.78058434,-15.98225314
AR,Arkansas,Baxter County,41513,41511,41932,308,349,695,-346,-1,656,655,-1,595,8.3536789698,16.635549811,-8.281870841,-0.023936043,15.702044138,15.678108095
AR,Arkansas,Benton County,221339,221348,279141,6875,3744,1820,1924,107,4823,4930,21,2081,13.579805842,6.6012945066,6.9785113355,0.3880980836,17.493430442,17.881528526
AR,Arkansas,Boone County,36903,36920,37432,47,407,460,-53,-11,114,103,-3,465,10.879880241,12.296670543,-1.416790302,-0.294050817,3.0474357432,2.7533849259
AR,Arkansas,Bradley County,11508,11505,10763,-75,116,130,-14,-5,-56,-61,0,227,10.740243507,12.036479793,-1.296236285,-0.46294153,-5.184945141,-5.647886672
AR,Arkansas,Calhoun County,5368,5368,5189,-38,39,48,-9,-1,-28,-29,0,175,7.4884792627,9.2165898618,-1.728110599,-0.192012289,-5.376344086,-5.568356375
AR,Arkansas,Carroll County,27446,27449,28380,283,301,305,-4,25,265,290,-3,230,10.659206403,10.800856986,-0.141650583,0.8853161464,9.3843511518,10.269667298
AR,Arkansas,Chicot County,11800,11800,10118,-324,111,150,-39,-2,-283,-285,0,769,10.79766537,14.591439689,-3.793774319,-0.194552529,-27.52918288,-27.72373541
AR,Arkansas,Clark County,22995,22991,22320,7,233,241,-8,2,14,16,-1,2986,10.440705308,10.79918446,-0.358479152,0.089619788,0.6273385163,0.7169583044
AR,Arkansas,Clay County,16083,16083,14551,-212,155,197,-42,0,-170,-170,0,125,10.575151805,13.44067681,-2.865525005,0.0,-11.59855359,-11.59855359
AR,Arkansas,Cleburne County,25970,25964,24919,-75,227,385,-158,-6,90,84,-1,339,9.0958267385,15.426842706,-6.331015968,-0.240418328,3.6062749184,3.3658565905
AR,Arkansas,Cleveland County,8689,8692,7956,-39,75,88,-13,-1,-25,-26,0,52,9.4037991349,11.033790985,-1.62999185,-0.125383988,-3.134599712,-3.2599837
AR,Arkansas,Columbia County,24552,24552,23457,-129,262,279,-17,9,-120,-111,-1,2161,11.138745403,11.861488425,-0.722743022,0.3826286589,-5.101715452,-4.719086793
AR,Arkansas,Conway County,21273,21267,20846,21,227,213,14,-5,14,9,-2,285,10.894866934,10.222936815,0.6719301193,-0.239975043,0.6719301193,0.4319550767
AR,Arkansas,Craighead County,96443,96443,110332,1516,1456,1030,426,47,1044,1091,-1,3837,13.287823754,9.4000401555,3.8877835983,0.4289338712,9.5278076916,9.9567415628
AR,Arkansas,Crawford County,61948,61935,63257,-122,758,658,100,5,-227,-222,0,540,11.971319372,10.39198964,1.5793297325,0.0789664866,-3.585078493,-3.506112006
AR,Arkansas,Crittenden County,50902,50907,47955,-408,722,534,188,-7,-591,-598,2,1053,14.992005648,11.088270105,3.9037355427,-0.145351855,-12.2718495,-12.41720135
AR,Arkansas,Cross County,17870,17878,16419,-211,194,207,-13,2,-202,-200,2,225,11.740143423,12.526854065,-0.786710642,0.1210324064,-12.22427305,-12.10324064
AR,Arkansas,Dallas County,8116,8124,7009,-143,73,79,-6,-2,-133,-135,-2,401,10.310006355,11.157404138,-0.847397783,-0.282465928,-18.78398418,-19.06645011
AR,Arkansas,Desha County,13008,13002,11361,-146,135,172,-37,-1,-108,-109,0,56,11.806891726,15.042854644,-3.235962918,-0.087458457,-9.445513381,-9.532971838
AR,Arkansas,Drew County,18509,18517,18219,-109,228,198,30,-5,-134,-139,0,895,12.477084302,10.835362684,1.6417216187,-0.27362027,-7.33302323,-7.6066435
AR,Arkansas,Faulkner County,113237,113238,126007,869,1516,920,596,41,232,273,0,4407,12.072707002,7.3264448824,4.7462621195,0.3265046089,1.8475382747,2.1740428836
AR,Arkansas,Franklin County,18125,18137,17715,-49,178,190,-12,-1,-34,-35,-2,447,10.034104682,10.710561177,-0.676456495,-0.056371375,-1.916626737,-1.972998112
AR,Arkansas,Fulton County,12245,12236,12477,169,134,201,-67,5,232,237,-1,165,10.812991729,16.219487593,-5.406495864,0.4034698406,18.721000605,19.124470446
AR,Arkansas,Garland County,96024,95999,99386,420,1071,1347,-276,-27,726,699,-3,2165,10.798983625,13.581914979,-2.782931354,-0.272243285,7.3203194321,7.0480761475
AR,Arkansas,Grant County,17853,17842,18265,85,172,188,-16,-6,107,101,0,143,9.4388805049,10.316915901,-0.878035396,-0.329263273,5.8718617094,5.542598436
AR,Arkansas,Greene County,42090,42090,45325,-14,587,505,82,-7,-87,-94,-2,602,12.948910262,11.14003353,1.8088767317,-0.154416306,-1.919174093,-2.0735904
AR,Arkansas,Hempstead County,22609,22587,21532,-153,291,233,58,-13,-199,-212,1,301,13.466922739,10.782793808,2.6841289307,-0.601615105,-9.209338918,-9.810954023
